,carprivt_r,cardealr_r,carbuyf_r,carbuya_r,carbuyg_r,carbuyd_r,carbuyb_r,carbuyc_r,carbuye_r,carbuy1_r,degree_r,region_r,race_r,childs_r,sex_r,marital_r,satcar_r,newused_r,age_c
285,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.6666666666666666,-8.99863945578231
286,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.713375792696228,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,12.00136054421769
287,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,2.99999975546814,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,-16.99863945578231
288,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,12.00136054421769
289,1.0,0.0,0.2553191489361702,0.0,0.2,0.2769230850490595,0.42857142857142855,0.2769230850490595,1.0,6.433735053136781,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.00136054421769
290,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.6834532218618385,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,21.00136054421769
291,0.0,0.0,0.0,0.6500000143051161,1.0000000238418603,0.6479999937744136,0.0,1.0000000238418603,1.0000000238418603,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-20.99863945578231
292,0.0,0.0,0.3237410160789494,1.0,0.6341463329535306,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,-2.9986394557823104
293,1.0,1.0,0.5454545417600427,0.5454545417600427,0.7272727291199786,0.7272727291199786,0.4255319124651798,0.680851056139736,1.0,3.765957392978152,0.0,0.0,0.0,1.0,0.0,1.0,0.9999999809772417,0.3191489248375057,32.00136054421769
294,1.0,0.3333333333333333,0.0,1.0,1.0,0.75,1.0,1.0,0.75,4.333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8,-8.99863945578231
295,1.0,0.0,0.0,0.7216699569379068,0.0,0.9999999715604077,0.9999999715604077,0.9999999715604077,0.2783300146225008,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,19.00136054421769
296,1.0,0.0,0.23809524890787256,0.0,1.000000056766331,1.000000056766331,0.5238095589505858,1.000000056766331,0.7619048078584584,5.756097467792384,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-25.99863945578231
297,1.0,0.0,1.0000000348905254,0.0,0.7142857142857143,0.2682926837778177,0.7073170944454423,0.7073170944454423,0.6451612903225806,3.142857142857143,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,13.00136054421769
298,0.0,1.0,0.3,0.7,0.7,0.36363636363636365,0.6363636363636364,1.0,0.6666666666666666,4.3,1.0,0.0,0.0,1.0,0.0,1.0,2.272727272727273,0.7272727272727273,-1.9986394557823104
299,1.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.7659574778925096,1.0,0.5,5.542857390423224,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.9986394557823104
300,1.0,0.0,0.0,0.2962962962962963,0.6571428793303833,1.0000000408717586,1.0000000408717586,1.0000000408717586,1.0000000408717586,4.435897435897436,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,14.00136054421769
301,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,2.0013605442176896
302,1.0,1.0,0.7692307692307693,1.0,0.2857142857142857,1.0,1.0,1.0,0.46153846153846156,5.428571233944023,0.0,0.0,0.0,1.0,0.0,0.0,1.7142857142857142,1.0,-9.99863945578231
303,1.0,0.0,0.0,0.0,0.6190475736345563,0.6190475736345563,0.642857146599978,1.0,0.7142857068000441,4.350253556333685,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,-2.9986394557823104
304,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,1.0,0.6666666666666666,2.3333333333333335,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,-21.99863945578231
305,1.0,1.0,0.75,0.25,0.75,1.0,0.75,1.0,0.75,4.125,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.75,-19.99863945578231
306,0.0,1.0,0.7,0.3,0.6,0.3,0.3,0.6,0.7,1.8,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.4,24.00136054421769
307,0.0,1.0,0.0,1.0,1.0,0.46153846153846156,1.0,1.0,0.6923076923076923,6.3,0.0,0.0,1.0,1.0,1.0,3.0,1.6153846153846154,0.0,-12.99863945578231
308,0.0,1.0,0.6666666961010612,0.3333333480505306,0.6666666961010612,0.3333333480505306,0.6153845589541861,0.6153845589541861,1.000000044151592,2.3846151965139537,0.0,0.0,0.0,1.0,1.0,3.0,2.2307690363977524,0.99999991848938,34.00136054421769
309,1.0,1.0,0.9999999661817628,0.31914892753576923,0.5744680628007371,0.5744680628007371,0.2553191352649679,0.5744680628007371,0.9999999661817628,1.5,0.0,0.0,0.0,1.0,1.0,3.0,1.851063772943814,0.6808510386459935,24.00136054421769
310,1.0,0.0,0.36809817673844303,0.0,0.36809817673844303,0.6923076876051564,1.0,1.0,0.40540540018074706,5.4405594480213155,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,21.00136054421769
311,1.0,0.0,0.7142857142857143,1.0,0.5714285714285714,0.7142857142857143,0.0,0.45454545454545453,0.5714285714285714,2.4545454545454546,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,-6.99863945578231
312,1.0,0.0,0.0,0.5,0.25,0.25,0.75,0.25,1.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,-6.99863945578231
313,0.0,0.0,0.7073170944454423,1.0000000348905254,0.0,0.7073170944454423,1.0000000348905254,1.0000000348905254,0.5609756242229008,5.516129248100073,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-2.9986394557823104
314,1.0,1.0,0.9999999621557822,0.7619047312689666,0.9999999621557822,0.23809523088681567,0.9999999621557822,0.9999999621557822,0.9999999621557822,0.26241133822745855,0.0,0.0,0.0,1.0,1.0,2.0,1.952380885703045,0.0,42.00136054421769
315,1.0,0.0,0.6764705882352942,0.0,0.6571428571428571,0.7419354838709677,1.0,1.0,1.0,4.615384615384615,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,14.00136054421769
316,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,-1.9986394557823104
317,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.1428571428571428,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,6.00136054421769
318,0.0,1.0,0.6363636363636364,0.36363636363636365,0.7272727272727273,0.36363636363636365,0.36363636363636365,0.7272727272727273,0.6363636363636364,2.1818181818181817,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.2727272727272727,24.00136054421769
319,0.0,1.0,0.4,0.6,0.6,0.8,0.0,1.0,1.0,3.090909090909091,0.0,0.0,0.0,1.0,0.0,1.0,1.8,0.2,-18.99863945578231
320,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,6.375,0.0,0.0,1.0,1.0,1.0,1.0,1.6666666666666667,0.6666666666666666,-6.99863945578231
321,1.0,1.0,0.23076922230466615,0.4285713993773188,0.6923076669139985,0.9999999724901649,0.5384615278808327,0.9999999724901649,0.4615384446093323,5.846153695907824,0.0,0.0,1.0,0.0,0.0,0.0,2.428571297197935,0.7142856741438134,-24.99863945578231
